ID,Nombre,Categoría,Descripción,Imagen
1,Cloro de Perro,animal,"Cloro especial para áreas de perros. Elimina malos olores y desinfecta eficazmente.",/21.png
2,Desinfectante,animal,"Desinfectante de alto rendimiento. Elimina el 99.9% de las bacterias. Fórmula sin cloro.",/18.png
3,Sarricida Líquido,animal,"Sarricida líquido. Elimina insectos con acción prolongada y efectiva.",/6.png
4,Sarricida Líquido Rojo,animal,"Sarricida líquido de alta potencia. Elimina insectos con acción prolongada y efectiva.",/25.png
5,Limpiador tipo Pinol con Repelente,animal,"Limpiador tipo Pinol con repelente de insectos. Aroma fresco, limpieza profunda y ayuda a repeler insectos.",/23.png
6,Pastillas Cloro,animal,"Prácticas y concentradas para desinfección continua. Ideales para sanitizar agua y mantener espacios higiénicos.",/28.png
7,Limpiador Multiusos,oficinas,"Limpiador multiusos aroma a lavanda. Limpieza profunda y brillo prolongado en múltiples superficies.",/1.png
8,Limpiador Multiusos Mar Fresco,oficinas,"Limpiador multiusos con fragancia refrescante a mar fresco. Limpieza profunda y brillo prolongado.",/5.png
9,Limpiador Multiusos Lima Limón,oficinas,"Limpiador multiusos Lima Limón. Elimina suciedad con fragancia fresca. Uso en varias superficies.",/20.png
10,Limpiador Multiusos Canela Manzana,oficinas,"Limpiador multiusos con fragancia a canela y manzana. Limpieza profunda y brillo prolongado.",/24.png
11,Jabón para Manos,oficinas,"Jabón líquido para manos. Suave y cremoso. Limpieza e hidratación en cada lavado.",/9.png
12,Limpiavidrios,oficinas,"Limpiavidrios de secado rápido. Limpieza sin marcas, brillo transparente en cristales y espejos.",/19.png
13,Detergente para Ropa Negra,oficinas,"Detergente especial para ropa negra. Preserva el color y garantiza un lavado efectivo.",/11.png
14,Detergente para Ropa,oficinas,"Fórmula de alto rendimiento que elimina manchas difíciles dejando la ropa limpia y fresca.",/29.png
15,Suavizante,oficinas,"Suavizante con fragancia duradera. Aporta frescura y suavidad. Facilita el planchado.",/12.png
16,Suavizante Azul,oficinas,"Suavizante con fragancia duradera. Frescura y suavidad en cada lavada. Facilita el planchado.",/15.png
17,Bicarbonato de Sodio,oficinas,"Producto multiusos ideal para limpieza, desodorización y apoyo en diversas tareas del hogar.",/30.png
18,Mechudo de Hilaza,oficinas,"Mechudo de hilaza estándar. Ideal para limpieza diaria de pisos.",/34.png
